Deal date,Status,Product,Purchase value,Discount,Purchase price,New business,Gross revenue,Claim count,Reinvestment,Setup fee,Other fee,Adjustments,Release amount,Paid by insurance,Denied by insurance,Received insurance response,Pending insurance response,Expected total,Provisions,Expected till date,Collected till date,Collected till date by owner,Expected IRR,Actual IRR
23-Aug-21,Completed,claim,17401,0.12,15312.88,15312.88,2088.12,21,0,0,0,0,15312.88,15763,1638,17401,0,17025.14,375.86,17025.14,17401,17401,1.26,0.33
23-Aug-21,Completed,claim,84970.52,0.12,74774.06,74774.06,10196.46,241,0,0,0,0,74774.06,70644.77,14325.75,84970.52,0,81017.18,3953.34,81017.18,84970.52,84970.52,1.05,0.64
17-Sep-21,Completed,claim,11065,0.12,9737.2,9737.2,1327.8,18,0,0,0,0,9737.2,11065,0,11065,0,10826,239,10826,11065,11065,1.26,0.7
26-Sep-21,Completed,claim,19876.31,0.08,18286.1,18286.1,1590.21,85,0,3500,0,0,14786.1,16791.51,3084.8,19876.31,0,19140.78,735.53,19140.78,19876.31,19876.31,0.14,0.14
26-Sep-21,Completed,claim,2049.95,0.08,1886,1886,163.95,8,0,0,0,0,1886,1835.55,214.4,2049.95,0,1984.2,65.75,1984.2,2049.95,2049.95,0.28,0.17
26-Sep-21,Completed,claim,19313.39,0.08,17768.33,17768.33,1545.06,61,0,0,0,0,17768.33,17946.04,1367.35,19313.39,0,18486.79,826.6,18486.79,19313.39,19313.39,0.22,0.2
26-Sep-21,Completed,claim,30183.79,0.08,27769.28,27769.28,2414.51,216,0,0,0,0,27769.28,29649.39,534.4,30183.79,0,29405.25,778.54,29405.25,30183.79,30183.79,0.38,0.16
26-Sep-21,Completed,claim,6029.13,0.08,5546.96,5546.96,482.17,29,0,0,0,0,5546.96,5589.13,440,6029.13,0,5902.68,126.45,5902.68,6029.13,6029.13,0.32,0.14
27-Sep-21,Completed,claim,29810,0.12,26232.8,26232.8,3577.2,53,0,0,0,0,26232.8,12021,17789,29810,0,29106.48,703.52,29106.48,29810,29810,0.77,0.44
27-Sep-21,Completed,claim,12192.48,0.12,10729.38,0,1463.1,27,0,0,0,0,10729.38,11803.73,388.75,12192.48,0,11625.21,567.27,11625.21,12192.48,12192.48,1.05,0.44
13-Sep-21,Completed,claim,21593,0.12,19001.84,19001.84,2591.16,24,0,0,0,0,19001.84,21593,0,21593,0,21126.59,466.41,21126.59,21593,21593,1.26,0.77
24-Oct-21,Completed,claim,2680.8,0.08,2466.34,2466.34,214.46,6,0,0,0,0,2466.34,2680.8,0,2680.8,0,2596.62,84.18,2596.62,2680.8,2680.8,0.29,0.19
24-Oct-21,Completed,claim,14273.33,0.08,13131.46,13131.46,1141.87,96,0,0,0,0,13131.46,14180.95,92.38,14273.33,0,13930.77,342.56,13930.77,14273.33,14273.33,0.38,0.16
24-Oct-21,Completed,claim,3882.5,0.08,3571.9,3571.9,310.6,13,0,0,0,0,3571.9,3882.5,0,3882.5,0,3799.41,83.09,3799.41,3882.5,3882.5,0.33,0.15
9-Nov-21,Completed,claim,48455.05,0.12,42640.44,42640.44,5814.61,32,0,0,0,0,42640.44,44728.05,3727,48455.05,0,47112.85,1342.2,47112.85,48455.05,48455.05,1,0.72
9-Nov-21,Completed,claim,54238,0.12,47729.44,0,6508.56,73,0,0,0,0,47729.44,37098,17140,54238,0,53055.61,1182.39,53055.61,54238,54238,0.99,0.81
9-Nov-21,Completed,claim,94872.4,0.12,83487.71,83487.71,11384.69,182,0,0,0,0,83487.71,86498.18,8374.22,94872.4,0,92377.26,2495.14,92377.26,94872.4,94872.4,0.62,0.87
9-Nov-21,Completed,claim,256809.9,0.12,225992.71,225992.71,30817.19,325,0,0,0,0,225992.71,236537.74,20272.16,256809.9,0,251083.05,5726.85,251083.05,256809.9,256809.9,0.6,0.74
25-Nov-21,Completed,claim,89142.03,0.08,82314.45,82314.45,6827.58,135,0,3000,0,0,79314.45,84134.03,5008,89142.03,0,87217.82,1924.21,87217.82,89142.03,89141.12,0.3,0.99
7-Dec-21,Completed,claim,269540.44,0.08,249186.49,249186.48,20353.95,582,0,3500,0,7500,238186.49,232075.7,37464.74,269540.44,0,262690.11,6850.33,262690.11,269540.44,269540.44,0.28,0.2
7-Dec-21,Completed,claim,8645.42,0.11,7737.65,7737.65,907.77,302,0,0,0,0,7737.65,8222.1,423.32,8645.42,0,8324.69,320.73,8324.69,8645.42,8645.42,0.31,0.24
7-Dec-21,Completed,claim,6304.4,0.1,5642.44,5642.44,661.96,279,0,0,0,0,5642.44,4995.2,1309.2,6304.4,0,6021.33,283.07,6021.33,6304.4,6304.4,0.28,0.18
7-Dec-21,Completed,claim,10972.27,0.11,9820.18,9820.18,1152.09,448,0,3500,0,0,6320.18,10604.19,368.08,10972.27,0,10511.44,460.83,10511.44,10972.27,10972.27,0.29,0.21
14-Dec-21,Completed,claim,114506.23,0.08,105893.48,105893.48,8612.75,172,0,0,0,0,105893.48,107317.83,7188.4,114506.23,0,112041.98,2464.25,112041.98,114506.23,114506.23,0.3,0.42
29-Dec-21,Completed,claim,102256.24,0.08,94479.56,0,7776.68,167,44480,0,0,0,49999.56,96686.59,5569.65,102256.24,0,99964.75,2291.49,99964.75,102256.24,102256.24,0.3,0.4
4-Jan-22,Completed,claim,56844.13,0.07,52625.43,509.6,4218.7,89,0,0,0,0,52625.43,50854.6,5989.53,56844.13,0,55650.28,1193.85,55650.28,56844.13,56844.13,0.31,0.42
10-Jan-22,Completed,claim,392427.67,0.08,362995.59,362995.59,29432.08,464,0,0,0,0,362995.59,346143.4,46284.27,392427.67,0,382263.79,10163.88,382263.79,392427.67,392427.67,0.31,0.7
13-Jan-22,Completed,claim,18695.9,0.07,17365.44,509.6,1330.46,30,17365,0,0,0,0.44,18692.9,3,18695.9,0,18281.99,413.91,18281.99,18695.9,18695.9,0.32,0.36
19-Jan-22,Completed,claim,76660.68,0.08,70527.83,5907.32,6132.85,448,70527.83,0,0,0,0,72845.35,3815.33,76660.68,0,74620.92,2039.76,74620.92,76660.68,76660.68,0.29,0.2
24-Jan-22,Completed,claim,228391.66,0.07,211262.29,211262.29,17129.37,317,0,3500,0,0,207762.29,209489.76,18901.9,228391.66,0,222877.48,5514.18,222877.48,228391.66,228391.66,0.31,0.72
24-Jan-22,Completed,claim,395351.49,0.07,366583.28,0,28768.21,856,187347.48,0,0,0,179235.8,354548.53,40802.96,395351.49,0,385523.26,9828.23,385523.26,395351.49,395351.49,0.31,0.38
1-Feb-22,Completed,claim,6114.35,0.1,5502.91,0,611.44,222,0,0,0,0,5502.91,5778.31,336.04,6114.35,0,5886.29,228.06,5886.29,6114.35,6114.35,0.29,0.36
1-Feb-22,Completed,claim,12782,0.1,11503.8,3085.47,1278.2,519,0,0,0,0,11503.8,11854.36,927.64,12782,0,12329.58,452.42,12329.58,12782,12782,0.3,0.14
1-Feb-22,Completed,claim,26812.74,0.1,24131.47,24131.47,2681.27,501,0,0,0,0,24131.47,4855.92,21956.82,26812.74,0,26003,809.74,26003,26812.74,26812.74,0.3,0.13
1-Feb-22,Completed,claim,45774.37,0.1,41196.93,37308.53,4577.44,1039,0,0,0,0,41196.93,43282.93,2491.44,45774.37,0,44361.31,1413.06,44361.31,45774.37,45774.37,0.3,0.27
3-Feb-22,Completed,claim,45368.8,0.07,42116.02,0,3252.78,70,42116.02,0,0,0,0,42616,2752.8,45368.8,0,44360.85,1007.95,44360.85,45368.8,45368.8,0.34,0.48
17-Feb-22,Completed,claim,64721,0.11,57631.78,35668.93,7089.22,689,33216,0,0,0,24415.78,59162.61,5558.39,64721,0,62120.66,2600.34,62120.66,64721,64721,0.3,0.26
23-Feb-22,Completed,claim,97231.28,0.07,89962.76,0,7268.52,155,40000,0,0,0,49962.76,91261.81,5969.47,97231.28,0,95065.21,2166.07,95065.21,97231.28,97231.28,0.31,0.48
24-Feb-22,Completed,claim,327864.34,0.06,308192.48,0,19671.86,469,308192.48,0,0,0,0,291462.48,36401.86,327864.34,0,319887,7977.34,319887,327864.34,327864.34,0.2,0.68
24-Feb-22,Completed,claim,263454.64,0.06,246330.09,246330.09,17124.55,2429,0,5000,0,0,241330.09,248011.96,15442.68,263454.64,0,256857.06,6597.58,256857.06,263454.64,263454.64,0.28,0.22
1-Mar-22,Completed,claim,20810.2,0.07,19274.92,0,1535.28,31,0,0,0,0,19274.92,19482.2,1328,20810.2,0,20310.72,499.48,20310.72,20810.2,20810.2,0.31,0.36
5-Mar-22,Completed,claim,245503.44,0.05,233228.27,233228.27,12275.17,325,0,0,0,0,233228.27,244231.21,1272.23,245503.44,0,240755.69,4747.75,240755.69,245503.44,245503.44,0.16,0.14
5-Mar-22,Completed,claim,613613.6,0.05,582932.92,582932.92,30680.68,1190,0,13000,0,0,569932.92,606545.61,7067.99,613613.6,0,601746.56,11867.04,601746.56,613613.6,613613.6,0.16,0.2
9-Mar-22,Completed,claim,179832.01,0.08,166299.5,0,13532.51,529,166299.5,0,0,0,0,151464.92,28367.09,179832.01,0,175252.18,4579.83,175252.18,179832.01,179832.01,0.32,0.38
11-Mar-22,Completed,claim,51247.52,0.07,47491.32,0,3756.2,78,47491.32,0,0,0,0,48940.5,2307.02,51247.52,0,49864.82,1382.7,49864.82,51247.52,51247.52,0.3,0.42
17-Mar-22,Completed,claim,7319.46,0.1,6587.51,0,731.95,272,6587.51,0,0,0,0,4751.35,2568.11,7319.46,0,7032.8,286.66,7032.8,7319.46,7319.46,0.27,0.13
17-Mar-22,Completed,claim,5422.73,0.1,4880.46,1649.75,542.27,179,4880.46,0,0,0,0,4982.92,439.81,5422.73,0,5205.73,217,5205.73,5422.73,5422.73,0.28,0.42
17-Mar-22,Completed,claim,10139.24,0.1,9125.32,0,1013.92,243,9125.32,0,0,0,0,9337.5,801.74,10139.24,0,9781.57,357.67,9781.57,10139.24,10139.24,0.28,0.39
17-Mar-22,Completed,claim,5447.9,0.1,4903.11,0,544.79,101,4903.11,0,0,0,0,0,5447.9,5447.9,0,5259.95,187.95,5259.95,5447.9,5447.9,0.29,0.13
17-Mar-22,Completed,claim,36797.52,0.09,33663.77,6970.69,3133.75,278,0,0,0,0,33663.77,35930.24,867.28,36797.52,0,35633.46,1164.06,35633.46,36797.52,36797.52,0.27,0.31
21-Mar-22,Completed,claim,19384.16,0.1,17454.89,0,1929.27,27,17454.89,0,0,0,0,19229.1,155.06,19384.16,0,18904.52,479.64,18904.52,19384.16,19384.16,0.52,0.67
28-Mar-22,Completed,claim,44909.58,0.1,40514.22,0,4395.36,66,40514.22,0,0,0,0,44382.06,527.52,44909.58,0,43823.97,1085.61,43823.97,44909.58,44909.58,0.49,0.68
29-Mar-22,Completed,claim,151840.39,0.07,141970.76,0,9869.63,1405,141970.76,0,0,0,0,132253.49,19586.9,151840.39,0,148185.33,3655.06,148185.33,151840.39,151840.39,0.28,0.36
30-Mar-22,Completed,claim,941245,0.14,809470.7,809470.7,131774.3,2106,0,15000,0,0,794470.7,906350,34895,941245,0,922420.1,18824.9,922420.1,941245,941245,0.19,0.42
31-Mar-22,Completed,claim,87409.5,0.06,82164.93,82164.93,5244.57,169,0,13000,0,0,69164.93,86342.54,1066.96,87409.5,0,85206.89,2202.61,85206.89,87409.5,87409.5,0.16,0.38
31-Mar-22,Completed,claim,20404.71,0.06,19180.43,19180.43,1224.28,12,0,0,0,0,19180.43,20404.57,0.14,20404.71,0,19900.99,503.72,19900.99,20404.71,20404.71,0.17,0.14
31-Mar-22,Completed,claim,71340.79,0.06,67060.34,67060.34,4280.45,114,0,0,0,0,67060.34,71340.72,0.07,71340.79,0,69803.18,1537.61,69803.18,71340.79,71340.79,0.24,0.15
31-Mar-22,Completed,claim,50078.58,0.06,47073.87,47073.86,3004.71,535,0,0,0,0,47073.87,49960.1,118.48,50078.58,0,48907.34,1171.24,48907.34,50078.58,50078.58,0.19,0.13
31-Mar-22,Completed,claim,21784.37,0.06,20477.31,20477.31,1307.06,67,0,0,0,0,20477.31,21784.04,0.33,21784.37,0,21256.41,527.96,21256.41,21784.37,21784.37,0.18,0.22
31-Mar-22,Completed,claim,1466.42,0.06,1378.43,1378.43,87.99,16,0,0,0,0,1378.43,1358.11,108.31,1466.42,0,1431.96,34.46,1431.96,1466.42,1466.42,0.2,0.18
31-Mar-22,Completed,claim,83692.04,0.05,79507.44,79507.44,4184.6,115,0,0,0,0,79507.44,81026.84,2665.2,83692.04,0,82068.42,1623.62,82068.42,83692.04,83692.04,0.14,0.18
31-Mar-22,Completed,claim,262525.64,0.05,249399.36,249399.36,13126.28,502,0,0,0,0,249399.36,260380.3,2145.34,262525.64,0,257432.66,5092.98,257432.66,262525.64,262525.64,0.14,0.36
31-Mar-22,Completed,claim,353494.83,0.06,332285.14,0,21209.69,476,332285.14,0,0,0,0,347617.33,5877.5,353494.83,0,344459.51,9035.32,344459.51,353494.83,353494.83,0.21,0.56
4-Apr-22,Completed,claim,136873.2,0.07,127976.44,127976.45,8896.76,248,0,5000,0,0,122976.44,133360.14,3513.06,136873.2,0,134032.08,2841.12,134032.08,136873.2,136873.2,0.21,0.18
6-Apr-22,Completed,claim,53252.34,0.06,49790.94,359.13,3461.4,435,19790.94,0,0,0,30000,45974.41,7277.93,53252.34,0,51888.08,1364.26,51888.08,53252.34,53252.34,0.23,0.52
7-Apr-22,Completed,claim,21501.29,0.1,19339.21,0,2162.08,31,19339.21,0,0,0,0,20650.5,850.79,21501.29,0,20983.83,517.46,20983.83,21501.29,21501.29,0.4,0.67
7-Apr-22,Completed,claim,7068.8,0.05,6715.36,6715.36,353.44,10,0,0,0,0,6715.36,7068.8,0,7068.8,0,6930.85,137.95,6930.85,7068.8,7068.8,0.13,0.12
7-Apr-22,Completed,claim,45318.4,0.05,43052.48,43052.48,2265.92,60,0,0,0,0,43052.48,45318.4,0,45318.4,0,44441.12,877.28,44441.12,45318.4,45318.4,0.15,0.19
