ID,Reference,Deal date,Status,Product,Group,Purchase value,Discount,Purchase price,New business,Gross revenue,Claim count,Reinvestment,Setup fee,Other fee,Adjustments,Release amount,Paid by insurance,Denied by insurance,Received insurance response,Pending insurance response,Expected total,Provisions,Expected till date,Collected till date
619b71deb1eac891e80c9cd8,2109/000001/DCDC/0001,23-Aug-21,Completed,claim,DCDC,17401,0.12,15312.88,15312.88,2088.12,21,0,0,0,0,15312.88,15763,1638,17401,0,17025.14,375.86,17025.14,17401
619b7815c4a90793aca5f0b6,2109/000002/DCDC/0002,23-Aug-21,Completed,claim,DCDC,84970.52,0.12,74774.06,74774.06,10196.46,241,0,0,0,0,74774.06,70644.77,14325.75,84970.52,0,81017.18,3953.34,81017.18,84970.52
619b7903833f5c16c52af69c,2109/000003/DCDC/0003,17-Sep-21,Completed,claim,DCDC,11065,0.12,9737.2,9737.2,1327.8,18,0,0,0,0,9737.2,11065,0,11065,0,10826,239,10826,11065
619b7952833f5c16c52af6a8,2109/000004/ALAFDAL/0001,26-Sep-21,Completed,claim,ALAFDAL,19876.31,0.08,18286.1,18286.1,1590.21,85,0,3500,0,0,14786.1,16791.51,3084.8,19876.31,0,19140.78,735.53,19140.78,19876.31
619b79a7833f5c16c52af6c5,2109/000005/ALAFDAL/0002,26-Sep-21,Completed,claim,ALAFDAL,2049.95,0.08,1886,1886,163.95,8,0,0,0,0,1886,1835.55,214.4,2049.95,0,1984.2,65.75,1984.2,2049.95
619b79ce833f5c16c52af6c9,2109/000006/ALAFDAL/0003,26-Sep-21,Completed,claim,ALAFDAL,19313.39,0.08,17768.33,17768.33,1545.06,61,0,0,0,0,17768.33,17946.04,1367.35,19313.39,0,18486.79,826.6,18486.79,19313.39
619b7be21f65b4fb04e3c454,2109/000007/ALAFDAL/0004,26-Sep-21,Completed,claim,ALAFDAL,30183.79,0.08,27769.28,27769.28,2414.51,216,0,0,0,0,27769.28,29649.39,534.4,30183.79,0,29405.25,778.54,29405.25,30183.79
619b9ce83cd28c466f20f7ee,2109/000008/ALAFDAL/0005,26-Sep-21,Completed,claim,ALAFDAL,6029.13,0.08,5546.96,5546.96,482.17,29,0,0,0,0,5546.96,5589.13,440,6029.13,0,5902.68,126.45,5902.68,6029.13
619b9d053cd28c466f20f7f4,2109/000009/DCDC/0004,27-Sep-21,Completed,claim,DCDC,29810,0.12,26232.8,26232.8,3577.2,53,0,0,0,0,26232.8,12021,17789,29810,0,29106.48,703.52,29106.48,29810
619b9d243cd28c466f20f7fa,2109/000010/DCDC/0005,27-Sep-21,Completed,claim,DCDC,12192.48,0.12,10729.38,0,1463.1,27,0,0,0,0,10729.38,11803.73,388.75,12192.48,0,11625.21,567.27,11625.21,12192.48
