ID,Reference,Deal date,Status,Product,Provider,Group,Purchase value,Discount,Purchase price,New business,Gross revenue,Claim count,Reinvestment,Setup fee,Other fee,Adjustments,Release amount,Paid by insurance,Denied by insurance,Received insurance response,Pending insurance response,Expected collection days,Expected total,Provisions,Expected till date,Collection days so far,Collected till date,Collected till date by owner,Expected IRR,Actual IRR,Actual IRR for owner,VAT on purchased assets,VAT on fees,Owner,Released from,FundStatus,AccountManager,SalesManager,Expected in 30 days,Expected in 60 days,Expected in 90 days,Expected in 120 days,Expected in 150 days,Expected in 180 days,Expected in 210 days,Expected in 240 days,Expected in 270 days,Expected in 300 days,Expected in 330 days,Expected in 360 days,Expected in 390 days,Actual in 30 days,Actual in 60 days,Actual in 90 days,Actual in 120 days,Actual in 150 days,Actual in 180 days,Actual in 210 days,Actual in 240 days,Actual in 270 days,Actual in 300 days,Actual in 330 days,Actual in 360 days,Actual in 390 days
619b71deb1eac891e80c9cd8,2109/000001/DCDC/0001,23 Aug 2021,Completed,claim,DCDC,DCDC,17401,0.12,15312.88,15312.88,2088.12,21,0,0,0,0,15312.88,15763,1638,17401,0,48,17025.14,375.86,17025.14,164,17401,17401,1.26,0.33,0.33,0,0,KKTL,KKTL,Completed,Sami Herbawi,Karim Dakki,8441.23,16391.74,16572.71,16572.71,16844.17,17025.14,17025.14,17025.14,17025.14,17025.14,17025.14,17025.14,17025.14,0,0,0,0,0,17401,17401,17401,17401,17401,17401,17401,17401
619b7815c4a90793aca5f0b6,2109/000002/DCDC/0002,23 Aug 2021,Completed,claim,DCDC,DCDC,84970.52,0.12,74774.06,74774.06,10196.46,241,0,0,0,0,74774.06,70644.77,14325.75,84970.52,0,41,81017.18,3953.34,81017.18,95,84970.52,84970.52,1.05,0.64,0.64,0,0,KKTL,KKTL,Completed,Sami Herbawi,Karim Dakki,52358.67,80507.36,80507.36,80507.36,81017.18,81017.18,81017.18,81017.18,81017.18,81017.18,81017.18,81017.18,81017.18,0,0,71887.84,71887.84,71887.84,84970.52,84970.52,84970.52,84970.52,84970.52,84970.52,84970.52,84970.52
619b7903833f5c16c52af69c,2109/000003/DCDC/0003,17 Sep 2021,Completed,claim,DCDC,DCDC,11065,0.12,9737.2,9737.2,1327.8,18,0,0,0,0,9737.2,11065,0,11065,0,48,10826,239,10826,89,11065,11065,1.26,0.7,0.7,0,0,KKTL,KKTL,Completed,Sami Herbawi,Karim Dakki,5367.63,10423.23,10538.31,10538.31,10710.92,10826,10826,10826,10826,10826,10826,10826,10826,0,6795,6795,6795,11065,11065,11065,11065,11065,11065,11065,11065,11065
619b7952833f5c16c52af6a8,2109/000004/ALAFDAL/0001,26 Sep 2021,Completed,claim,ALAFDAL,ALAFDAL,19876.31,0.08,18286.1,18286.1,1590.21,85,0,3500,0,0,14786.1,16791.51,3084.8,19876.31,0,129,19140.78,735.53,19140.78,226,19876.31,19876.31,0.14,0.14,0.14,0,0,KKTL,KKTL,Completed,Sami Herbawi,Ashly Jacob,1747.12,4563.58,6946.74,8958.21,13253.46,17411.56,18127.1,18796.93,19122.9,19140.79,19140.79,19140.79,19140.79,0,0,0,0,0,1919.56,7713.82,7713.82,19876.31,19876.31,19876.31,19876.31,19876.31
619b79a7833f5c16c52af6c5,2109/000005/ALAFDAL/0002,26 Sep 2021,Completed,claim,ALAFDAL,ALAFDAL,2049.95,0.08,1886,1886,163.95,8,0,0,0,0,1886,1835.55,214.4,2049.95,0,76,1984.2,65.75,1984.2,196,2049.95,2049.95,0.28,0.17,0.17,0,0,KKTL,KKTL,Completed,Sami Herbawi,Ashly Jacob,328,1308.11,1693.1,1693.1,1825.12,1984.2,1984.2,1984.2,1984.2,1984.2,1984.2,1984.2,1984.2,0,0,0,0,0,0,2049.95,2049.95,2049.95,2049.95,2049.95,2049.95,2049.95
619b79ce833f5c16c52af6c9,2109/000006/ALAFDAL/0003,26 Sep 2021,Completed,claim,ALAFDAL,ALAFDAL,19313.39,0.08,17768.33,17768.33,1545.06,61,0,0,0,0,17768.33,17946.04,1367.35,19313.39,0,73,18486.79,826.6,18486.79,165,19313.39,19313.39,0.22,0.2,0.2,0,0,KKTL,KKTL,Completed,Sami Herbawi,Ashly Jacob,7617.21,12949.64,15050.94,15475.83,15796.43,18328.42,18328.42,18328.42,18328.42,18384.43,18459.75,18486.79,18486.79,0,0,0,0,9135.68,13896.39,19313.39,19313.39,19313.39,19313.39,19313.39,19313.39,19313.39
619b7be21f65b4fb04e3c454,2109/000007/ALAFDAL/0004,26 Sep 2021,Completed,claim,ALAFDAL,ALAFDAL,30183.79,0.08,27769.28,27769.28,2414.51,216,0,0,0,0,27769.28,29649.39,534.4,30183.79,0,65,29405.25,778.54,29405.25,204,30183.79,30183.79,0.38,0.16,0.16,0,0,KKTL,KKTL,Completed,Sami Herbawi,Ashly Jacob,11294.85,21644.94,25535.66,26921.11,27796.45,29064.18,29221.14,29281.51,29320.75,29359.99,29387.16,29405.27,29405.27,0,0,0,0,0,0,27627.73,30092.71,30092.71,30112.71,30143.79,30183.79,30183.79
619b9ce83cd28c466f20f7ee,2109/000008/ALAFDAL/0005,26 Sep 2021,Completed,claim,ALAFDAL,ALAFDAL,6029.13,0.08,5546.96,5546.96,482.17,29,0,0,0,0,5546.96,5589.13,440,6029.13,0,83,5902.68,126.45,5902.68,238,6029.13,6029.13,0.32,0.14,0.14,0,0,KKTL,KKTL,Completed,Sami Herbawi,Ashly Jacob,988.2,3184.07,4073.39,5073.65,5837.56,5902.68,5902.68,5902.68,5902.68,5902.68,5902.68,5902.68,5902.68,0,0,0,0,0,0,0,4716.1,6029.13,6029.13,6029.13,6029.13,6029.13
619b9d053cd28c466f20f7f4,2109/000009/DCDC/0004,27 Sep 2021,Completed,claim,DCDC,DCDC,29810,0.12,26232.8,26232.8,3577.2,53,0,0,0,0,26232.8,12021,17789,29810,0,67,29106.48,703.52,29106.48,129,29810,29810,0.77,0.44,0.44,0,0,KKTL,KKTL,Completed,Sami Herbawi,Karim Dakki,4981.25,20559.96,27633.87,27633.87,28408.93,29106.48,29106.48,29106.48,29106.48,29106.48,29106.48,29106.48,29106.48,0,0,0,0,29810,29810,29810,29810,29810,29810,29810,29810,29810
619b9d243cd28c466f20f7fa,2109/000010/DCDC/0005,27 Sep 2021,Completed,claim,DCDC,DCDC,12192.48,0.12,10729.38,0,1463.1,27,0,0,0,0,10729.38,11803.73,388.75,12192.48,0,41,11625.21,567.27,11625.21,129,12192.48,12192.48,1.05,0.44,0.44,0,0,KKTL,KKTL,Completed,Sami Herbawi,Karim Dakki,7512.98,11552.06,11552.06,11552.06,11625.21,11625.21,11625.21,11625.21,11625.21,11625.21,11625.21,11625.21,11625.21,0,0,0,0,12192.48,12192.48,12192.48,12192.48,12192.48,12192.48,12192.48,12192.48,12192.48
